中文名,英文名,拉丁學名,HKBWS Category,Morphological feature,Breeding,Distribution & habitat preference,Occurrence,Range & Systematics,"Behaviour, Foraging & Diet",Conservation Status,References,Recommended Citation,Website URL
赤麻鴨,Ruddy Shelduck,Tadorna ferruginea,"Category I.  Rare winter visitor to Deep Bay area, mainly in the first part of the year","Apr. 2007, Kinni Ho. Female.
58-70 cm. Similar in size or slightly larger than Common Shelduck with more drawn-out rear end. Rich orange upperparts and underparts, paler buff head and, in adult male, a black neck ring separating the two areas. Female lacks neck collar and has more contrasting white face mask.
Dec. 2013, Kinni Ho. First-winter.
In flight white upperwing coverts (greyish-tinged on first-winter birds such as this) contrast with blackish flight feathers, rump and tail.
Apr. 2007, Kinni Ho. Female.
Underwing pattern mirrors that of the upperwing.",,"Ruddy Shelduck has only been seen in the Deep Bay area, mostly at Mai Po NR but occasionally on both active and abandoned commercial fish ponds.","First recorded on 4 November 1979, Ruddy Shelduck occurred in nine winters from 1979-80 to 1993-94. Since then, it has been recorded in only one in three winter periods. Apart from 1988-89 when up to seven birds were present, most records have involved singles, the exceptions being up to three during 2-4 January 2014 and two on 27 February 2016.
Extreme dates are 10 October 2021 and 14 May 2005. There are three spring records: a long-staying individual in 1986 present from at least mid-March, and singles during 14-24 April 2007 and 10-14 May 2005. All other records, however, have been in the period up to 31 March.","Monotypic. Breeds in a wide range of habitats and altitudes from the Black Sea east to northeast China in the north and southwest China in the south; winters to the south from east and south China west through northern Indochina and the Indian subcontinent to northeast Africa, with resident populations present in northwest Africa, northwest Europe and southeast Europe (Salvador and Amat 2021). In China breeds on the Qinghai-Tibetan Plateau into Nei Mongol and northeast China and winters south of the Yangtze (Liu and Chen 2021).
Although generally indicated as wintering throughout southern China, it would seem from the paucity of records in HK that wintering this far south is relatively unusual. La Touche (1931-34) stated that he had not recorded it in Guangdong and that it was rare in Fujian. It seems likely that the milder winters occurring as a result of global heating will mean this species may become increasingly rare.",No observations.,"IUCN:Least Concern. Population trend unknown.
La Touche, J. D. D. (1931-34).Handbook of the birds of Eastern China Vol. 2. Taylor and Francis, London.
Salvador, A. and J. A. Amat (2021). Ruddy Shelduck (Tadorna ferruginea), version 2.0. In Birds of the World (S. M. Billerman and M. A. Bridwell, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bow.rudshe.02
Liu, Y. and S. H. Chen (eds) (2021).The CNG Field Guide to the Birds of China(in Chinese).Hunan Science and Technology Publication House, Changsha.
Carey, G. J. (2023). Ruddy ShelduckTadorna ferruginea, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.
https://avifauna.hkbws.org.hk/species/0010/000900","La Touche, J. D. D. (1931-34).
Handbook of the birds of Eastern China Vol. 2
. Taylor and Francis, London.
Salvador, A. and J. A. Amat (2021). Ruddy Shelduck (
Tadorna ferruginea
), version 2.0. In Birds of the World (S. M. Billerman and M. A. Bridwell, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.
https://doi.org/10.2173/bow.rudshe.02
Liu, Y. and S. H. Chen (eds) (2021).
The CNG Field Guide to the Birds of China
(in Chinese)
.
Hunan Science and Technology Publication House, Changsha.","Carey, G. J. (2023). Ruddy ShelduckTadorna ferruginea, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.https://avifauna.hkbws.org.hk/species/0010/000900",https://avifauna.hkbws.org.hk/species/0010/000900
翹鼻麻鴨,Common Shelduck,Tadorna tadorna,"Category I.  Once common to abundant winter visitor, but much declined this century and now a rare winter visitor.","Dec. 2021, Michelle and Peter Wong. First-winter.
55-65 cm. Typically, a highly distinctive duck due to its large size and striking pattern. Plumage mostly white with orange-red bill, very dark green head and neck, orange chest band extending back to mantle, black scapulars, primaries and stripe down centre of belly, iridescent green secondaries and white wing coverts. Male has knob at base of bill; which is much smaller or lacking on smaller female; latter has duller bill.
Juvenile has white face, chin and fore neck, grey scapulars, no chestnut band and grey hind neck. This bird is moulting from juvenile to adult-type plumage.
Jan. 2008, Kinni Ho. First-winter.
Young birds have white trailing edge to wing.",,"Apart from two at Shuen Wan on 6 December 1993, all records have been in the Deep Bay area. The wintering flock remained almost exclusively in the intertidal areas of the bay itself, and the rare occasions on which it was seen in the ponds of the reserve involved late-departing or migrant individuals in spring joining other birds at a high tide roost.","Previously a common to abundant winter visitor to the Deep Bay area, albeit somewhat erratic in regard to the numbers present, Common Shelduck is now rarely recorded.
La Touche (1931-34) noted that Common Shelduck was a common winter visitor to the coast of eastern China and occurred from November to February in large flocks at Swatow (Shantou) in the extreme east of Guangdong. The first record for Hong Kong occurred on 4 February 1956 (Walker 1958). Numbers recorded subsequently were low and erratic until the mid-1970s, with no records at all in the first half of the 1960s.
Until the 1974-75 winter period, the highest count was 115, but beginning in winter 1975/76 numbers rose.Figure 1illustrates the subsequent rise but also the erratic nature of its occurrence, as numbers rose sharply from winter 1984/85 to reach a peak of 4,011 birds on 17 January 1988, the highest on record in HK. This increase was also reflected in the first records in summer and relatively high numbers remaining rather late in the spring from 1985 to 1987. Subsequently there was an equally sharp decline to 387 in winter 1991/92, followed by a further sharp increase to a peak count of 2,972 in winter 1996/97. The following three winter periods brought peak counts of approximately 1,300 birds, but winter 2000/01 saw the beginning of another sharp decrease to 18 in winter 2007-08, and then no more than nine birds until 2012/13 when one was present until 2 March. The next record was of one on 26 February 2020 that was last seen on 18 March.
Until the late 1980s, Common Shelduck was a winter visitor from the second week of November, but after 1989 there were no records prior to 27 November. Extreme dates, excluding summer records, are 22 October 1999 and 29 May 1980, though even during the 1980s reports after the middle of April were unusual. Over-summering birds were recorded in two years: one in 1983 and two in 1985.
Common Shelduck is one of four duck species whose populations have declined significantly in HK according to Sunget al. (2021), who point out that, in contrast, survey data in Choiet al. (2020) indicate an increase in Common Shelduck numbers along the China coast during 2012-19. The east Asian non-breeding population is estimated to be 100,000 to 150,000 and stable by Wetlands International (2022). A possible explanation for the decline in HK may be that improvements in Deep Bay water quality have resulted in a decline in its benthic prey, as was postulated for Common Shelduck in the U.K. (Lucking 2020), or that a warming climate means that birds do not migrate so far south.","Monotypic. Breeds in Iceland, scattered areas in northern Europe and areas to the west and north of the Black Sea east through Central Asia to southern Siberia and Mongolia; wintering populations are distributed through Europe, northernmost north Africa, Asia Minor and parts of the Indian subcontinent. In China it breeds in the northwest, north and northeast, and winters in the east and south of the country (Liu and Chen 2020), though largely coastal in occurrence.",No observations.,IUCN:Least Concern. Population trend increasing.,"Choi, C. Y., J. Li and W. J. Xue (2020).
China Coastal Waterbird Census Report (Jan. 2012 – Dec. 2019)
. Hong Kong Bird Watching Society, Hong Kong.
La Touche, J. D. D. (1931-34).
Handbook of the birds of Eastern China Vol. 2
. Taylor and Francis, London.
Liu, Y. and Y. H. Chen (eds) (2020).
The CNG Field Guide to the Birds of China
(in Chinese)
.
Hunan Science and Technology Publication House, Changsha.
Lucking, R. (2020). Important Bird Areas: The Wash.
British Birds
113 Issue 1 January 2020: 24-43.
Sung, Y. H., C. C. Pang, T. C. H. Li, P. P. Y. Wong and Y. T. Yu (2021). Ecological Correlates of 20-Year Population Trends of Wintering Waterbirds in Deep Bay, South China.
Frontiers in Ecology and Evolution
. Published 20 April 2021
http://doi.org/10.3389/fevo.2021.658084
Walker, F. J. (1958).
Field observations on birds in the Colony of Hong Kong
. Hong Kong Bird Watching Society, Hong Kong (duplicated).","Carey, G. J. and C. C. Pang (2023). Common ShelduckTadorna tadorna, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.https://avifauna.hkbws.org.hk/species/0010/000800",https://avifauna.hkbws.org.hk/species/0010/000800
大天鵝,Whooper Swan,Cygnus cygnus,Category I. Accidental.,"140-165 cm. Very large, white, sometimes washed pale brownish on head and neck. Long neck, equal to or longer than body in flight. Long black-tipped yellow bill (yellow reaching beyond the nostril) with nearly straight culmen. Young birds have same bill pattern but much duller more pinkish pale area and duller dirtier plumage.",,"The first record occurred on a brackishgei waiat Mai Po NR, while the second was seen in flight over inshore waters at Sai Kung. The 14 unidentified swans were seen in the intertidal area of Deep Bay from the Mai Po boardwalk.","There are two records:
2001: an adult at Mai Po NR on 13 March (Kilburn 2007).
2014: a juvenile seen from Sai Kung pier on 26 January.
In addition, 14 unidentified swans, either Whooper or Tundra Swan, were seen in Deep Bay on 16 November 1992.","Monotypic. Breeds in Iceland and from Scandinavia east across Eurasia as far south as Kazakhstan and Mongolia and as far east as Kamchatka, Sakhalin and Chukotka. Winters to the south in scattered areas of Europe, around the Black and Caspian Seas; in Asia winters in east China, the Korean peninsula and Japan (Carboneras and Kirwan 2020). In China, breeds in northern Xinjiang and the northern areas of northeast China; winters from the Yellow River to the central and lower reaches of the Yangtze including coastal areas (Liu and Chen 2020).",No observations.,IUCN:Least Concern. Population trend unknown.,"Carboneras, C. and G. M. Kirwan (2020). Whooper Swan (
Cygnus cygnus
), version 1.0. In
Birds of the World
(J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.
https://doi.org/10.2173/bow.whoswa.01
Kilburn, M. (2007). Whooper Swan
Cygnus cygnus
at Mai Po. The first Hong Kong record.
Hong Kong Bird Report 2001-02
: 164-170.
Liu, Y. and Y. H. Chen (eds) (2020).
The CNG Field Guide to the Birds of China
(in Chinese)
.
Hunan Science and Technology Publication House, Changsha.","Carey, G. J. (2023). Whooper SwanCygnus cygnus, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.https://avifauna.hkbws.org.hk/species/0010/000700",https://avifauna.hkbws.org.hk/species/0010/000700
小白額雁,Lesser White-fronted Goose,Anser erythropus,Category I.  Accidental.,"Nov. 2006, Michelle and Peter Wong. Juveniles.
53-66 cm. Similar to Greater White-fronted Goose but differs as follows: slightly smaller with an obvious yellow orbital ring, more extensive white on the forehead (when fully developed extends to crown above eye), smaller bill that is always pink and long wings clearly extending beyond the tail.
Nov. 2006, Martin Hale. Juvenile.
In flight shorter neck and more compact structure may be apparent.Juvenile lacks irregular barring on belly.
Oct. 2023, Benjamin Li. Juvenile.
This fresh juvenile has little or no white on the forehead and buff fringes to the scapulars and median coverts.",,The two birds utilised both freshwater and brackish marsh areas.,The sole record is of two juveniles at Lok Ma Chau MTRC Ecological Enhancement Area and Mai Po NR from 6 November 2006 to 29 March 2007 (Leven and Leader 2010).,"Monotypic. Breeds across northern Eurasia inside the Arctic Circle from Norway east to the Sea of Okhotsk in three discrete areas, and winters in southeast Europe, south of the Caspian Sea and east Asia, including China, South Korea and Japan (Carboneras and Kirwan 2020). In China winters along the middle and lower reaches of the Yangtze floodplain (Liu and Chen 2020), in particular Dongting Lake.",No observations.,"IUCN:VULNERABLEdue to a rapid population decline in its key breeding areas in Russia. Population size 16,000 to 27,000 and decreasing.","Carboneras, C. and G. M. Kirwan (2020). Lesser White-fronted Goose (
Anser erythropus
), version 1.0. In
Birds of the World
(J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.
https://doi.org/10.2173/bow.lwfgoo.01
Leven, M. R. and P. J. Leader (2010). Lesser White-fronted Geese
Anser erythropus
at Lok Ma Chau. The first Hong Kong record.
Hong Kong Bird Report 2005-06
: 182-184.
Liu, Y. and Y. H. Chen (eds) (2020).
The CNG Field Guide to the Birds of China
(in Chinese)
.
Hunan Science and Technology Publication House, Changsha.","Carey, G. J. (2023). Lesser White-fronted GooseAnser erythropus, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.https://avifauna.hkbws.org.hk/species/0010/000600",https://avifauna.hkbws.org.hk/species/0010/000600
白額雁,Greater White-fronted Goose,Anser albifrons,Category I.  Accidental.,"Oct. 2016, Michelle and Peter Wong. Adult.
66-86 cm. Fairly stocky grey goose with orange legs and relatively square head. Adults have obvious white around base of bill and broad black irregular bars on the belly.
Oct. 2016, Michelle and Peter Wong. Juvenile.
Juvenile bill duller, colour varying from pinkish to orange, no barring on belly, buff fringes to upperparts and little or no white around the bill base. Bill has small but variable amount of dark.
May 2022, Paul Leader. Second calendar year.
In flight has fairly dark upperwing, slightly paler primary coverts and dark barring on belly (adults). This second calendar-year bird has limited white around bill and some barring on underparts.",,Most records are from freshwater marsh or fish pond areas in the northwest New Territories.,"Extreme dates are 13 October to 21 April.
2004: juvenile at Lok Ma Chau during 8-15 November (Leven 2009).
2005: juvenile at Lok Ma Chau from 2 November to 20 March 2006.
2008: juvenile at Nam Sang Wai on 10 November.
2015: juvenile at Mai Po NR during 27-28 November.
2016: up to four (two adults, two juveniles) at Mai Po NR and San Tin from 13 October to 20 February 2017.
2017: three juveniles at Mai Po NR from 31 October to 12 December, with four on 27 November and 14 December; a juvenile from 31 December to 21 April 2018.
2018: juvenile at Yi O, Lantau on 7 November.
2020: two adults in Deep Bay from 12 November to 15 December, and a juvenile on 11 December.
In addition, one was picked up at Discovery Bay, Lantau on 19 October 1999 and transferred to the Wild Animal Rescue Centre at Kadoorie Farm and Botanic Garden. It was released on 22 November at Mai Po NR, where it remained for much of the winter (Haig 2007). As it was discovered next to the ferry pier and in view of its post-release behaviour at Mai Po, where it remained in what was then a captive waterfowl collection area, it is not regarded as of natural origin.","Five subspecies are recognised, of which the nominate breeds in north Russia and is presumed to occur in HK. Three subspecies breed in Alaska and Canada, and one in Greenland.
Breeds from northern Russia east through the Arctic zone to northeast Canada and western Greenland; winters from northwest Europe southeast to southwest Asia and east to northern parts of the Indian subcontinent and east Asia (Elyet al. 2020). In China a migrant through the northeast and, rarely, the northwest to wintering areas along the east coast south to Fujian and Taiwan and the middle and lower reaches of the Yangtze floodplain (Liu and Chen 2020).",No observations.,IUCN:Least Concern. Population trend unknown.,"Ely, C. R., A. X. Dzubin, C. Carboneras, G. M. Kirwan, and E. F. J. Garcia (2020). Greater White-fronted Goose (
Anser albifrons
), version 1.0. In
Birds of the World
(S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA.
https://doi.org/10.2173/bow.gwfgoo.01
Haig, A. (2007). Greater White-fronted Goose
Anser albifrons
at Discovery Bay. An addition to Category E of the Hong Kong List.
Hong Kong Bird Report 2001-02
: 205-207.
Leven, M. R. (2009). Greater White-fronted Goose
Anser albifrons
at Lok Ma Chau: the first Category A record for Hong Kong.
Hong Kong Bird Report 2003-04
: 198-200.
Liu, Y. and Y. H. Chen (eds) (2020).
The CNG Field Guide to the Birds of China
(in Chinese)
.
Hunan Science and Technology Publication House, Changsha.","Carey, G. J. (2023). Greater White-fronted GooseAnser albifrons, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.https://avifauna.hkbws.org.hk/species/0010/000500",https://avifauna.hkbws.org.hk/species/0010/000500
,Unidentified Grey Geese,Anser sp.,,,,,"Careyet al. (2001) listed seven records of unidentified grey geese, as follows.
1965: 17 at Mai Po on 20 December.
1969: two at Mai Po on 8 November.
1970: four at Mai Po on 1 November and 32 there on 6 December.
1971: three at Tai Lam Chung on 26 November.
1972: four at Mai Po on 5 March.
1976: nine at Mai Po on 1 November.
1980: four at San Tin on 15 November.
The earliest reports of Tundra Bean Goose A. serrirostrisin the region were by Swinhoe (1860) who stated it occurred in ‘immense flocks’ in winter at Xiamen. La Touche (1892, 1931-34) stated that Bean GooseA. fabaliswas ‘abundant...at Swatow’ (Shantou) on the border of Guangdong and Fujian, arriving about the end of November and departing before the end of February. He also stated thatA. serrirostriswas ‘by far the commonest of all the wild Geese’ in southeast China, and thatA. fabalisoccurred on the marshes ‘of the coast of North Guangdong’ (presumably referring to Shantou).
Deng (1962) estimated that 40,000 to 60,000 Tundra Bean Goose occurred in eastern Guangdong from early November to mid-March. He described how a team of researchers from Guangzhou noted the damage caused by the birds to agriculture and devised a scheme to trap the geese and produce canned meat for export. This appears to have been responsible for the loss of the large regional wintering population. For further details see Lewthwaite (2012).
In HK, comments and reports from hunters in the 1930s such as ‘not a single goose was seen by us this season...’ (Pereira 1936), and ‘Saw a single goose shot...’ (Pereira 1938) suggest that at least occasional sightings of geese were then expected. However, it is obvious from the above records and anecdotal reports that while grey geese have not, for nearly one hundred years, been common in the Pearl River Delta, there has been a decline in numbers.",,,,"Carey, G. J., M. L. Chalmers, D. A. Diskin, P. R. Kennerley, P. J. Leader, M. R. Leven, R. W. Lewthwaite, D. S. Melville, M. Turnbull and L. Young (2001).
The Avifauna of Hong Kong
. Hong Kong Bird Watching Society, Hong Kong.
Deng, J. X. (1962). Ecological observations and hunting of the Bean Goose
Anser fabalis serrirostris
and Common Teal
Anas crecca
along the coast of Shantou (Guangdong Province).
Acta Scientarium Naturalium Universitatis Sunyatseni
2: 71-81 (in Chinese).
La Touche, J. D. D. (1892). On Birds collected or observed in the Vicinity of Foochow and Swatow in South-eastern China.
Ibis
1892: 400-430, 477-503.
La Touche, J. D. D. (1931-34).
Handbook of the birds of Eastern China Vol. 2
. Taylor and Francis, London.
Lewthwaite, R.W. (2012). Tundra Bean Goose
Anser serrirostris
at Mai Po NR. The first Hong Kong record with notes on its historical status on the coast of Fujian and Guangdong.
Hong Kong Bird Report 2009-10
: 235-240
Pereira, R.A. (1936). Notes and Comments. Ornithology.
Hong Kong Naturalist 7
: 203-206.
Pereira, R.A. (1938). Notes and Comments. Ornithology.
Hong Kong Naturalist 8
: 290-293.
Swinhoe, R. (1861). Notes on the ornithology of Hong Kong, Macao and Canton, made during the latter end of February, March, April and the beginning of May 1860.
Ibis
1861: 23-57.","Carey, G. J. (2023). Unidentified grey geeseAnser sp., version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.https://avifauna.hkbws.org.hk/species/0010/000401",https://avifauna.hkbws.org.hk/species/0010/000401
凍原豆雁,Tundra Bean Goose,Anser serrirostris,Category I.  Accidental.,"Nov. 2017, James Kwok.
66-80 cm. Closely resembles Taiga Bean Goose but typically differs in smaller size, shorter largely dark bill that has smaller subterminal orange patch, straight or convex culmen and short, bulbous nail, slightly paler underparts, shorter and less slender neck, shorter, more angular head that has a more rounded crown meeting a shorter bill.
Nov. 2013, Martin Hale.
The body is shorter and more squat than that of Taiga Bean Goose.Variation in bill pattern is illustrated well in this photograph.",,"With the exception of the first record, which was present on the intertidal mudflats, has generally occurred in freshwater and brackishgei waiand ponds.","2009: one at Mai Po NR on 1 January (Lewthwaite 2012).
2010: one at Mai Po NR during 3-12 November.
2013: four at Tuen Mun / Long Valley / Lok Ma Chau from 27 October to 14 November.
2017: up to four (two adults, two juveniles) at Mai Po NR from 31 October to 8 December.
2020: five at Mai Po NR on 24 November.","Three subspecies are recognised, with that presumed to occur in Hong Kong being nominateserrirostris, which breeds in northeast Siberia;A.f. rossicusbreeds in north Russia and northwest Siberia. Not all authorities split Taiga Bean Goose andA. serrirostris.
Breeds in tundra zone of north Russia east to Chukotka and winters in northern, northwest and central Europe and western Russia, and east Asia, the latter area supporting most of the population of nominateserrirostris. In China nominateserrirostrisis a migrant through the north and northeast and winters in south central China though generally does not reach the coast; has occurred in Hainan and Taiwan (Liu and Chen 2020).",No observations.,IUCN (treatsA. fabalisandA. serrirostrisas single species):Least Concern. Population trend decreasing.,"Brazil, M. (2018).
Birds of Japan.
Helm, London.
Carboneras, C. and G. M. Kirwan (2020). Tundra Bean-Goose (
Anser serrirostris
), version 1.0. In
Birds of the World
(S. M. Billerman, B. K. Keeney, P. G. Rodewald, and T. S. Schulenberg, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.
https://doi.org/10.2173/bow.tunbeg1.01
Lewthwaite, R. W. (2012). Tundra Bean Goose
Anser serrirostris
at Mai Po NR. The first Hong Kong record with notes on its historical status on the coast of Fujian and Guangdong.
Hong Kong Bird Report 2009-10
: 235-240
Liu, Y. and Y. H. Chen (eds) (2020).
The CNG Field Guide to the Birds of China
(in Chinese)
.
Hunan Science and Technology Publication House, Changsha.","Carey, G. J. (2023). Tundra Bean GooseAnser serrirostris, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.https://avifauna.hkbws.org.hk/species/0010/000400",https://avifauna.hkbws.org.hk/species/0010/000400
寒林豆雁,Taiga Bean Goose,Anser fabalis,Category I.  Accidental.,"Nov. 2010, Michelle and Peter Wong.
76-89 cm. Closely resembles Tundra Bean Goose but differs in larger size, longer body, longer and more slender neck, and longer forehead that has a smoother line with the more tapered bill, which together can impart a resemblance to Whooper Swan. The eye is relatively close to the forehead. The bill is black, usually with a small orange patch near tip.
Oct. 2020, Kenneth Lam.
The dark head and neck contrast with the pale belly.",,"Recorded in the intertidal area, ponds andgei waiof Mai Po NR.","2010: two at Mai Po NR from 3 November to 22 February 2011 (Ko 2012).
2020: two at Mai Po during 8-28 October.","Three subspecies are recognised, with that occurring in HK presumed to beA. f. middendorffii, which breeds in east Siberia;A. f. johansenibreeds in west Siberia and the nominate form breeds from Scandinavia to north central Siberia. Not all authorities split Taiga Bean Goose and Tundra Bean Goose.
Breeds in taiga zone from Scandinavia to Chukotka and winters in central and southern Europe, Central Asia and east Asia, the latter supporting most of the population ofA. f. middendorffii(Carboneras and Kirwan 2020). In ChinaA. f. middendorffiiis a migrant through the north and northeast and winters in south China though generally does not reach the coast (Liu and Chen 2020).",Observed feeding on aquatic vegetation.,"IUCN (treatsA. fabalisandA. serrirostrisas single species):Least Concern. Population trend decreasing.
Carboneras, C. and G. M. Kirwan (2020). Taiga Bean-Goose (Anser fabalis), version 1.0. InBirds of the World(S. M. Billerman, B. K. Keeney, P. G. Rodewald, and T. S. Schulenberg, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bow.taibeg1.01
Ko, K. (2012). Taiga Bean GooseAnser fabalisat Mai Po Nature Reserve. The first Hong Kong record.Hong Kong Bird Report 2009-10: 230-232.
Liu, Y. and Y. H. Chen (eds) (2020).The CNG Field Guide to the Birds of China(in Chinese).Hunan Science and Technology Publication House, Changsha.
Carey, G. J. (2023). Taiga Bean GooseAnser fabalis, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.
https://avifauna.hkbws.org.hk/species/0010/000300","Carboneras, C. and G. M. Kirwan (2020). Taiga Bean-Goose (
Anser fabalis
), version 1.0. In
Birds of the World
(S. M. Billerman, B. K. Keeney, P. G. Rodewald, and T. S. Schulenberg, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.
https://doi.org/10.2173/bow.taibeg1.01
Ko, K. (2012). Taiga Bean Goose
Anser fabalis
at Mai Po Nature Reserve. The first Hong Kong record.
Hong Kong Bird Report 2009-10
: 230-232.
Liu, Y. and Y. H. Chen (eds) (2020).
The CNG Field Guide to the Birds of China
(in Chinese)
.
Hunan Science and Technology Publication House, Changsha.","Carey, G. J. (2023). Taiga Bean GooseAnser fabalis, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong, China.https://avifauna.hkbws.org.hk/species/0010/000300",https://avifauna.hkbws.org.hk/species/0010/000300
灰雁,Greylag Goose,Anser anser,Category I.  Rare winter visitor to Deep Bay wetlands.,"Oct. 2022, John and Jemi Holmes.
76-89 cm. Large with thick neck and heavy pink bill. Relatively plain goose without obviously darker head.
Aug. 2014, Kinni Ho.
In flight pale grey fore part of upperwing and pale grey rump contrast with darker hindwing, neck and mantle.
Dec. 2018, Paul Tsui. Juvenile.
Juveniles have dull bill and lack obvious dark marks on the belly.",,"All records have occurred in the Deep Bay area, either in the intertidal area or at Mai Po NR.","There are eight records, largely in the period 6 November to 22 March.
1958: two in Deep Bay on 23 November.
1964: two at Ping Shan on 22 March.
1993: six at Tsim Bei Tsui on 6 November.
1997: five in Deep Bay on 11 January.
2012: one at Mai Po NR during 20-21 July.
2014: singles at Mai Po NR on 23 August and 21 December (the latter a juvenile).
2018: a juvenile at Mai Po NR during 3-4 December.
The possibility that the midsummer records in 2012 and 2014 involved an ex-captive individual cannot be excluded.
Vaughan and Jones (1913) stated that Greylag Geese occurred every winter in small flocks in the Pearl River Delta, usually arriving in November and December and departing in March. Herklots (1967) stated that ‘…a few geese are shot each winter in the Deep Bay marshes; all, I believe, are of this species [though] there are few authenticated records...’","Greylag Goose breeds from Iceland, northwest, north and eastern Europe east across Russia, Central Asia, Mongolia and northwest and northeast China to Ussuriland. Generally, winters south of the breeding areas in Europe, while eastern populations move further south to an area stretching from Iran and Pakistan east through northern parts of the subcontinent to south China (Carboneras and Kirwan 2020). In China breeds in the northwest and northeast provinces and winters in the lower and middle reaches of the Yangtze floodplain, the Yunnan-Guizhou Plateau and both south and east China (Liu and Chen 2020). Based on HK records, it would appear to be relatively uncommon on the south coast.
The taxon occurring in HK isA. a. rubirostris, which breeds from east central Europe to China. Two other subspecies are recognised, both in Europe.",,"IUCN:Least Concern. Population trend increasing.
Carboneras, C. and G. M. Kirwan (2020). Graylag Goose (Anser anser), version 1.0. InBirds of the World(J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.https://doi.org/10.2173/bow.gragoo.01
Herklots, G. A. C. (1967).Hong Kong Birds (2nded.).South China Morning Post, Hong Kong.
Liu, Y. and Y. H. Chen (eds) (2020).The CNG Field Guide to the Birds of China(in Chinese).Hunan Science and Technology Publication House, Changsha.
Vaughan, R. E. and K. H. Jones (1913). The birds of Hong Kong, Macao and the West River or Si Kiang in South-East China, with special reference to their nidification and seasonal movements.Ibis1913: 17-76, 163-201, 351-384.
Carey, G. J. (2023). Greylag GooseAnser anser, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong,
https://avifauna.hkbws.org.hk/species/0010/0002000","Carboneras, C. and G. M. Kirwan (2020). Graylag Goose (
Anser anser
), version 1.0. In
Birds of the World
(J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.
https://doi.org/10.2173/bow.gragoo.01
Herklots, G. A. C. (1967).
Hong Kong Birds (2
nd
ed.).
South China Morning Post, Hong Kong.
Liu, Y. and Y. H. Chen (eds) (2020).
The CNG Field Guide to the Birds of China
(in Chinese)
.
Hunan Science and Technology Publication House, Changsha.
Vaughan, R. E. and K. H. Jones (1913). The birds of Hong Kong, Macao and the West River or Si Kiang in South-East China, with special reference to their nidification and seasonal movements.
Ibis
1913: 17-76, 163-201, 351-384.","Carey, G. J. (2023). Greylag GooseAnser anser, version 1.0. InThe Avifauna of Hong Kong(G. J. Carey, Editor). Hong Kong Bird Watching Society, Hong Kong,https://avifauna.hkbws.org.hk/species/0010/0002000",https://avifauna.hkbws.org.hk/species/0010/000200
